コード,決算期,連/単,売上高,営業利益,経常利益,当期利益,EPS（円）,一株配当金（円）
25935,----/--,--,--,--,--,--,--,--,
25935,----/--,--,--,--,--,--,--,--,
2976,2017/03,連結,5314,185,171,129,--,200.00,
2976,2018/03,連結,3772,121,106,85,--,100.00,
2976,2019/03,連結,5024,339,317,203,203.80,5.00,
2976,2020/03,連結,5425,364,333,218,195.20,--,
2976,2020/03,連結,5425,364,333,218,189.57,5.00,
2977,2017/09,単独,3836,374,325,213,--,--,
2977,2018/09,単独,3189,219,174,110,110.97,--,
2977,2019/09,単独,3704,211,151,110,110.47,24.00,
2977,2020/09,単独,3700,150,100,67,67.00,24.00,
2977,2020/09,単独,3700,150,100,67,67.00,24.00,
2978,2017/07,単独,346,-105,-91,27,--,--,
2978,2018/07,単独,531,-485,-486,-401,--,--,
2978,2019/07,単独,1515,19,7,10,1.34,0.00,
2978,2020/07,単独,2122,--,--,--,--,0.00,
2978,2020/07,単独,2122,25,15,15,1.61,0.00,
3001,2015/12,連結,48573,-190,507,226,6.44,10.00,
3001,2016/12,連結,46927,1486,2152,1691,48.11,10.00,
3001,2017/12,連結,46185,1901,2660,1224,34.83,12.00,
3001,2018/12,連結,44308,1531,2456,1283,36.56,12.00,
3001,2019/12,連結,43900,2200,2800,1700,48.49,12.00,
3001,2019/12,連結,43900,2200,2800,1700,48.27,12.00,
3002,2016/03,連結,138324,3662,791,-1201,-6.39,8.50,
3002,2017/03,連結,136579,4206,4671,3102,16.59,7.50,
3002,2018/03,連結,140521,6239,6446,3486,189.30,90.00,
3002,2019/03,連結,140706,6690,7152,4087,225.60,110.00,
3002,2020/03,連結,147000,7000,6800,4300,239.09,115.00,
3002,2020/03,連結,147000,7000,6800,4300,222.87,115.00,
3003,2015/12,連結,169956,42002,42534,33628,52.75,15.50,
3003,2016/12,連結,215780,53377,51432,34897,53.00,17.00,
3003,2017/12,連結,289618,64249,61870,42402,64.38,21.00,
3003,2018/12,連結,287513,75564,72530,49515,75.18,25.50,
3003,2019/12,連結,345000,87000,83000,57000,86.20,30.50,
3003,2019/12,連結,345000,87000,83000,57000,84.58,30.50,
3004,2016/03,連結,42345,337,158,-484,-12.87,1.50,
3004,2017/03,連結,45665,1030,917,135,3.60,5.00,
3004,2018/03,連結,43383,804,617,158,42.02,30.00,
3004,2019/03,連結,42739,202,147,-396,-105.23,0.00,
3004,2020/03,連結,42000,600,450,-300,-79.50,0.00,
3004,2020/03,連結,42000,600,450,-300,--,0.00,
3010,2016/03,連結,5754,181,443,418,3.13,0.00,
3010,2017/03,連結,5662,434,662,47,3.55,0.00,
3010,2018/03,連結,4660,-321,-466,-412,-30.79,0.00,
3010,2019/03,連結,5084,-358,-704,-2960,-200.11,0.00,
3010,2020/03,連結,5790,223,124,103,1.92,0.00,
3010,2020/03,連結,5790,223,124,103,1.92,0.00,
3011,2016/03,連結,4339,190,182,154,4.14,2.00,
3011,2017/03,連結,4218,182,181,168,9.29,4.00,
3011,2018/03,連結,3884,105,86,51,2.85,2.00,
3011,2019/03,連結,4151,175,175,51,2.89,2.00,
3011,2020/03,連結,4272,-3,-17,-202,-12.12,2.00,
3011,2020/03,連結,4272,-3,-17,-202,--,2.00,
3020,2016/03,連結,29002,931,1093,657,258.96,55.00,
3020,2017/03,連結,30237,1261,1260,668,263.40,45.00,
3020,2018/03,連結,30797,1169,1165,838,330.42,40.00,
3020,2019/03,連結,30300,1366,1373,1136,446.92,50.00,
3020,2020/03,連結,31000,1400,1400,870,341.79,45.00,
3020,2020/03,連結,31000,1400,1400,870,321.84,45.00,
3021,2016/05,連結,4563,118,136,90,17.56,19.00,
3021,2017/05,連結,4643,16,29,-6,-1.26,19.00,
3021,2018/05,連結,4431,238,238,158,30.67,20.00,
3021,2019/05,連結,4177,310,315,192,37.14,21.00,
3021,2020/05,連結,4500,400,400,250,48.31,22.00,
3021,2020/05,連結,4500,400,400,250,48.31,22.00,
3023,2016/03,連結,30523,1421,1492,944,82.58,15.00,
3023,2017/03,連結,29937,1459,1639,1348,119.52,24.00,
3023,2018/03,連結,29076,1863,2057,1514,133.42,33.00,
3023,2019/03,連結,31755,2029,2264,1608,132.41,34.00,
3023,2020/03,連結,31000,1950,2150,1610,138.62,38.00,
3023,2020/03,連結,31000,1950,2150,1610,124.71,38.00,
3024,2016/03,連結,28598,138,209,116,29.96,12.00,
3024,2017/03,連結,29957,244,370,110,28.41,12.00,
3024,2018/03,連結,31050,345,430,243,62.61,14.00,
3024,2019/03,連結,32087,310,426,244,62.84,14.00,
3024,2020/03,連結,33300,400,480,300,77.03,14.00,
3024,2020/03,連結,33300,400,480,300,75.59,14.00,
3028,2016/06,連結,223643,3183,3497,-2263,-55.91,40.00,
3028,2017/06,連結,220039,4134,6207,2741,67.72,40.00,
3028,2018/06,連結,227675,3060,4375,1979,48.89,40.00,
3028,2019/06,連結,228267,1518,2888,-935,-23.10,40.00,
3028,2020/06,連結,239990,5044,6218,2515,62.14,40.00,
3028,2020/06,連結,239990,5044,6218,2515,62.12,40.00,
3030,2016/02,単独,9592,730,729,435,115.90,30.00,
3030,2017/02,単独,10274,763,764,496,132.25,35.00,
3030,2018/02,単独,11050,777,780,497,44.19,13.00,
3030,2019/02,単独,11616,790,796,531,47.16,14.00,
3030,2020/02,単独,12880,940,940,620,55.05,16.00,
3030,2020/02,単独,12950,940,940,620,55.04,16.00,
3031,2016/04,連結,2229,393,367,239,13.84,4.50,
3031,2017/04,連結,2359,420,414,255,14.58,4.50,
3031,2018/04,連結,2546,437,431,282,16.05,5.20,
3031,2019/04,連結,2980,548,545,379,21.05,6.00,
3031,2020/04,連結,3450,670,670,425,22.89,--,
3031,2020/04,連結,3450,670,670,425,22.31,6.00,
3032,2016/03,連結,4455,73,71,72,58.35,0.00,
3032,2017/03,連結,4969,106,103,81,31.89,0.00,
3032,2018/03,連結,5478,51,49,-182,-72.93,0.00,
3032,2019/03,連結,4889,-24,-22,-22,-9.10,0.00,
3032,2020/03,連結,5217,65,65,46,18.84,0.00,
3032,2020/03,連結,5217,65,65,46,18.11,0.00,
3034,2016/03,連結,124957,6743,6688,3709,107.78,24.00,
3034,2017/03,連結,131502,6865,7065,4353,128.35,24.00,
3034,2018/03,連結,145516,9091,9333,4986,141.19,28.00,
3034,2019/03,連結,144783,7050,7208,3908,101.73,28.00,
3034,2020/03,連結,170000,7600,7600,4050,105.98,28.00,
3034,2020/03,連結,170000,7600,7600,4050,104.11,28.00,
3035,2016/08,連結,17185,191,214,97,16.97,5.00,
3035,2017/08,連結,16860,211,252,219,38.33,12.00,
3035,2018/08,連結,16989,249,279,174,30.44,10.00,
3035,2019/08,連結,16699,285,314,216,37.78,11.00,
3035,2020/08,連結,16700,288,315,216,37.85,11.00,
3035,2020/08,連結,16700,288,315,216,37.73,11.00,
3036,2016/03,連結,201755,3792,4281,4977,387.09,44.00,
3036,2017/03,連結,201948,4168,4352,3083,239.31,44.00,
3036,2018/03,連結,247931,7323,7939,5336,206.56,32.00,
3036,2019/03,連結,257437,6257,6254,4009,155.20,39.00,
3036,2020/03,連結,232000,5300,6000,4400,174.23,42.00,
3036,2020/03,連結,232000,5300,6000,4400,169.78,42.00,
3038,2015/10,連結,228590,6802,8477,4174,--,80.00,
3038,2016/10,連結,239266,11833,8729,4560,174.46,45.00,
3038,2017/10,連結,251503,14606,15778,8346,318.54,50.00,
3038,2018/10,連結,267175,15722,15831,10363,--,65.00,
3038,2019/10,連結,281900,16500,16300,10800,202.58,35.00,
3038,2019/10,連結,281900,16500,16300,10800,157.89,35.00,
3039,2016/09,単独,1073,67,61,-18,-31.21,0.00,
3039,2017/09,単独,1097,144,142,83,142.36,0.00,
3039,2018/09,単独,1017,60,52,3,6.55,0.00,
3039,2019/09,単独,903,-23,-27,-100,-170.75,0.00,
3039,2020/09,単独,896,14,9,6,10.47,0.00,
3039,2020/09,単独,896,14,9,6,10.17,0.00,
3040,2015/12,連結,10278,452,435,-301,-31.99,15.00,
3040,2016/12,連結,15998,1259,1188,664,69.57,15.00,
3040,2017/12,連結,16467,1525,1621,929,47.74,10.00,
3040,2018/12,連結,15266,1367,1240,329,17.00,10.00,
3040,2019/12,連結,15500,1500,1430,900,47.47,10.00,
3040,2019/12,連結,15500,1500,1430,900,45.60,10.00,
3041,2016/06,連結,5762,126,137,75,18.04,5.55,
3041,2017/06,連結,5680,2,-9,-30,-7.52,0.00,
3041,2018/06,連結,5620,167,166,77,19.07,7.11,
3041,2019/06,連結,5874,19,30,-5,-1.47,3.00,
3041,2020/06,連結,6000,140,140,110,27.16,8.14,
3041,2020/06,連結,6000,140,140,110,21.67,8.14,
3042,2016/03,単独,683,54,50,44,13.84,0.00,
3042,2017/03,単独,792,53,54,42,13.23,0.00,
3042,2018/03,連結,830,11,4,6,2.13,0.00,
3042,2019/03,連結,969,43,39,26,8.14,0.00,
3042,2020/03,連結,1424,85,84,58,17.33,0.00,
3042,2020/03,連結,1424,85,84,58,17.15,0.00,
3045,2016/08,連結,1980,135,45,33,30.88,50.00,
3045,2017/08,連結,1979,194,246,155,145.17,35.00,
3045,2018/08,連結,1980,209,219,144,67.36,37.50,
3045,2019/08,連結,1903,349,361,241,112.28,25.00,
3045,2020/08,連結,1848,367,367,220,102.40,25.00,
3045,2020/08,連結,1848,367,367,220,75.84,25.00,
3046,2016/08,連結,46189,3683,3604,1980,82.61,25.00,
3046,2017/08,連結,50451,5402,5227,2767,115.44,36.00,
3046,2018/08,連結,54872,6071,5627,3097,129.17,48.00,
3046,2019/08,連結,61893,7459,7015,3869,161.40,50.00,
3046,2020/08,連結,68100,8300,7600,4450,185.57,55.00,
3046,2020/08,連結,68100,8300,7600,4450,185.57,55.00,
3047,2015/12,連結,3655,51,56,32,13.56,5.00,
3047,2016/12,連結,3803,39,48,32,13.34,5.00,
3047,2017/12,連結,4398,50,69,42,17.74,5.00,
3047,2018/12,連結,4239,39,61,44,18.42,5.00,
3047,2019/12,連結,4400,62,81,57,23.76,5.00,
3047,2019/12,連結,4400,62,81,57,22.34,5.00,
3048,2016/08,連結,779081,22006,23067,11985,65.91,12.00,
3048,2017/08,連結,790639,21854,24364,13505,74.28,12.00,
3048,2018/08,連結,844029,27055,29241,17122,93.65,20.00,
3048,2019/08,連結,894021,22943,25871,14047,79.09,20.00,
3048,2020/08,連結,941000,25200,26900,15400,87.53,20.00,
3048,2020/08,連結,941000,25200,26900,15400,81.85,20.00,
3050,2016/02,連結,437731,18446,17489,10549,75.83,21.00,
3050,2017/02,連結,443369,19625,19122,11599,84.31,24.00,
3050,2018/02,連結,443578,19507,18610,11310,80.29,26.00,
3050,2019/02,連結,445758,21013,19905,12246,90.06,27.00,
3050,2020/02,連結,449500,23000,22600,14000,104.79,28.00,
3050,2020/02,連結,449500,23000,22600,14000,98.17,28.00,
3053,2015/12,単独,16198,761,760,411,44.04,25.00,
3053,2016/12,連結,22333,958,973,572,58.53,20.00,
3053,2017/12,連結,36229,2298,2322,1332,66.13,35.00,
3053,2018/12,連結,63509,3863,3876,-121,-5.87,30.00,
3053,2019/12,連結,66536,-731,-731,-2503,-119.46,15.00,
3053,2019/12,連結,66536,-731,-731,-2503,--,15.00,
3054,2015/12,連結,18715,367,361,226,--,34.00,
3054,2016/12,連結,19249,192,190,104,24.76,18.00,
3054,2017/12,連結,22268,338,341,203,48.13,18.00,
3054,2018/12,連結,22147,344,348,183,21.62,13.50,
3054,2019/12,連結,24500,500,500,320,36.85,9.00,
3054,2019/12,連結,24500,500,500,320,36.30,9.00,
3055,2016/03,連結,225146,2399,3256,1810,73.08,15.00,
3055,2017/03,連結,228713,2084,3005,988,40.04,20.00,
3055,2018/03,連結,227788,2498,3502,2159,89.14,17.00,
3055,2019/03,連結,235153,2458,3452,2099,88.96,17.00,
3055,2020/03,連結,241000,1800,2800,1700,72.22,15.00,
3055,2020/03,連結,241000,1800,2800,1700,69.67,15.00,
3057,2016/02,連結,10141,-93,24,-233,-54.23,5.00,
3057,2017/02,連結,9908,338,335,-442,-102.67,0.00,
3057,2018/02,連結,9230,428,442,155,36.13,5.00,
3057,2019/02,連結,9727,463,491,210,48.80,5.00,
3057,2020/02,連結,10150,500,490,320,74.13,5.00,
3057,2020/02,連結,10150,500,490,320,74.11,5.00,
3058,2016/03,連結,23180,478,480,164,27.90,8.50,
3058,2017/03,連結,22124,258,274,68,11.60,4.00,
3058,2018/03,連結,21327,246,277,5,0.98,0.00,
3058,2019/03,連結,20400,32,63,-308,-45.72,0.00,
3058,2020/03,連結,20000,-90,-60,-130,-17.85,0.00,
3058,2020/03,連結,20000,-90,-60,-130,--,0.00,
3059,2016/03,連結,17874,556,488,286,58.87,20.00,
3059,2017/03,連結,18183,813,772,526,108.02,22.00,
3059,2018/03,連結,17788,1053,1069,728,149.66,20.00,
3059,2019/03,連結,16859,813,810,552,113.42,20.00,
3059,2020/03,連結,17300,820,820,560,114.97,20.00,
3059,2020/03,連結,17300,820,820,560,108.62,20.00,
3063,2016/02,連結,13823,72,72,-232,-29.13,3.00,
3063,2017/02,連結,14357,53,61,-83,-10.45,3.00,
3063,2018/02,連結,14963,109,154,-30,-3.67,3.00,
3063,2019/02,連結,15056,-51,15,61,7.21,3.00,
3063,2020/02,連結,15100,118,145,26,2.88,3.00,
3063,2020/02,連結,15100,118,145,26,2.81,3.00,
3064,2015/12,連結,57563,7087,7120,4439,36.04,17.00,
3064,2016/12,連結,69647,9493,9514,6368,51.46,18.00,
3064,2017/12,連結,88347,11837,11858,8464,68.21,22.00,
3064,2018/12,連結,109553,13790,13788,9515,38.32,19.50,
3064,2019/12,連結,136258,16536,16530,11715,47.17,15.00,
3064,2019/12,連結,136258,16536,16530,11715,46.76,15.00,
3065,2016/02,単独,13029,410,469,249,16.29,2.50,
3065,2017/02,単独,12959,394,451,204,13.39,2.50,
3065,2018/02,単独,12901,200,252,88,28.99,10.00,
3065,2019/02,単独,13176,163,220,71,23.36,10.00,
3065,2020/02,単独,13493,182,226,53,17.62,10.00,
3065,2020/02,単独,13493,182,226,53,14.48,10.00,
3066,2016/03,連結,6654,195,181,42,12.09,5.00,
3066,2017/03,連結,6637,148,150,40,--,5.00,
3066,2018/03,連結,7016,103,106,-266,-37.94,0.00,
3066,2019/03,連結,7272,120,143,36,5.21,2.50,
3066,2020/03,連結,7655,128,128,23,3.25,2.50,
3066,2020/03,連結,7655,128,128,23,3.09,2.50,
3067,2016/09,連結,3852,18,39,21,2.44,5.00,
3067,2017/09,連結,4087,103,122,31,3.64,5.00,
3067,2018/09,連結,4304,125,150,85,9.89,5.00,
3067,2019/09,連結,4619,177,189,99,11.33,5.00,
3067,2020/09,連結,4903,197,189,108,12.27,5.00,
3067,2020/09,連結,4903,197,189,108,12.10,5.00,
3068,2016/03,連結,27629,1514,1420,461,72.94,10.00,
3068,2017/03,連結,27158,1476,1459,326,51.60,12.00,
3068,2018/03,連結,28737,1339,1234,72,11.42,12.00,
3068,2019/03,連結,29783,1687,1726,394,62.25,15.00,
3068,2020/03,連結,30500,800,700,100,15.79,12.00,
3068,2020/03,連結,30500,800,700,100,15.79,12.00,
3069,2016/03,連結,23495,817,724,520,23.19,0.00,
3069,2017/03,連結,36244,1078,922,526,18.13,0.00,
3069,2018/03,連結,42996,1080,887,843,27.59,4.00,
3069,2019/03,連結,64335,270,-967,-2931,-76.67,4.00,
3069,2020/03,連結,82000,870,380,160,3.82,4.00,
3069,2020/03,連結,82000,870,380,160,3.82,4.00,
3070,2016/01,連結,7269,185,184,46,25.17,16.00,
3070,2017/01,連結,6569,-79,-135,-436,-234.06,16.00,
3070,2018/01,連結,5902,44,23,-80,-43.20,0.00,
3070,2019/01,連結,5281,-156,-173,-825,-442.93,0.00,
3070,----/--,--,--,--,--,--,--,--,
3070,2020/01,連結,6000,100,100,70,36.46,0.00,
3071,2016/01,連結,23018,375,376,304,11.18,0.00,
3071,2017/01,連結,22025,187,173,85,3.15,0.00,
3071,2018/01,連結,22430,95,60,16,0.62,0.00,
3071,2019/01,連結,22626,17,6,-120,-4.42,0.00,
3071,2020/01,連結,25320,205,191,94,3.47,0.00,
3071,2020/01,連結,25320,205,191,94,3.30,0.00,
3073,2016/02,連結,29820,952,889,-262,-36.62,12.00,
3073,2017/02,連結,30509,1641,1435,648,86.52,15.00,
3073,2018/02,連結,45077,2204,2223,1010,132.43,15.00,
3073,2019/02,連結,50973,2115,2232,1085,141.89,18.00,
3073,2020/02,連結,57730,2900,2900,1260,82.33,13.50,
3073,2020/02,連結,57730,2900,2900,1260,80.55,13.50,
3075,2016/05,単独,19730,910,974,513,182.96,30.00,
3075,2017/05,単独,19540,923,958,457,167.70,30.00,
3075,2018/05,単独,18789,580,615,305,112.14,30.00,
3075,2019/05,単独,19316,937,982,505,37.04,6.00,
3075,2020/05,単独,19900,728,751,506,37.11,6.00,
3075,2020/05,単独,19900,728,751,506,34.85,6.00,
3076,2016/06,連結,48780,8141,8362,5763,121.70,30.00,
3076,2017/06,連結,50119,8501,8900,5995,126.60,36.00,
3076,2018/06,連結,54560,8984,9291,6125,129.35,38.00,
3076,2019/06,連結,51031,8410,8639,5386,113.74,40.00,
3076,2020/06,連結,48000,9000,9200,5900,124.58,45.00,
3076,2020/06,連結,48000,9000,9200,5900,104.26,45.00,
3077,2016/03,単独,8224,334,334,-113,-20.08,7.00,
3077,2017/03,単独,7292,61,44,-502,-88.69,7.00,
3077,2018/03,単独,6815,188,93,-408,-72.03,7.00,
3077,2019/03,単独,6660,304,309,249,44.00,7.00,
3077,2020/03,単独,6358,280,288,170,30.06,7.00,
3077,2020/03,単独,6358,280,288,170,29.98,7.00,
3079,2016/03,単独,31372,1492,1460,1289,114.36,23.00,
3079,2017/03,単独,35266,1524,1491,1025,90.98,23.00,
3079,2018/03,単独,38275,1320,1346,856,75.92,23.00,
3079,2019/03,単独,40380,1237,1331,974,88.46,24.00,
3079,2020/03,単独,42948,871,871,580,55.36,24.00,
3079,2020/03,単独,42948,871,871,580,51.42,24.00,
3080,2016/02,連結,21721,632,681,397,31.02,9.00,
3080,2017/02,連結,23325,643,703,423,33.02,9.00,
3080,2018/02,連結,23219,562,603,368,28.80,9.00,
3080,2019/02,連結,23375,664,705,437,34.17,9.00,
3080,2020/02,連結,24000,570,610,350,27.32,9.00,
3080,2020/02,連結,24000,570,610,350,27.32,9.00,
3082,2016/06,単独,8031,423,424,256,25.70,7.50,
3082,2017/06,単独,8845,318,317,170,16.94,7.50,
3082,2018/06,単独,9241,358,355,147,14.45,10.00,
3082,2019/06,連結,9914,406,376,161,15.78,7.50,
3082,2020/06,連結,10550,450,450,225,22.01,7.50,
3082,2020/06,連結,10550,450,450,225,21.33,7.50,
3083,2016/02,単独,6285,-87,-103,-259,-328.40,0.00,
3083,2017/02,単独,5264,-397,-414,-719,-910.77,0.00,
3083,2018/02,単独,4229,-256,-272,-750,-794.88,0.00,
3083,2019/02,単独,3811,20,11,-21,-9.12,0.00,
3083,2020/02,単独,3820,50,45,5,1.73,0.00,
3083,2020/02,単独,3820,50,45,5,1.73,0.00,
3085,2015/12,連結,20942,2923,2985,1792,--,40.00,
3085,2016/12,連結,23286,3350,3453,2069,130.00,25.00,
3085,2017/12,連結,26541,3762,3817,2322,72.96,24.00,
3085,2018/12,連結,30605,4116,4135,2519,79.13,20.00,
3085,2019/12,連結,34000,4480,4500,2600,81.67,24.00,
3085,2019/12,連結,34000,4480,4500,2600,78.56,24.00,
3086,2016/02,連結,1163564,48038,47910,26313,100.42,27.00,
3086,2017/02,連結,452505,41727,42608,27052,103.43,28.00,
3086,2018/02,連結,469915,49546,48271,28486,108.92,35.00,
3086,2019/02,連結,459840,40891,42126,27358,104.55,35.00,
3086,2020/02,連結,492000,47000,43700,25800,98.57,36.00,
3086,2020/02,連結,492000,47000,43700,25800,95.36,36.00,
3087,2016/02,連結,124796,9466,9491,5456,113.23,28.00,
3087,2017/02,連結,126927,10514,10675,6050,126.70,30.00,
3087,2018/02,連結,131182,10336,10369,6673,142.80,32.00,
3087,2019/02,連結,129216,10143,10271,5915,133.89,32.00,
3087,2020/02,連結,133315,10721,10810,6503,147.18,34.00,
3087,2020/02,連結,133315,10721,10810,6503,128.49,34.00,
3088,2016/03,連結,536052,27418,29805,17853,332.88,85.00,
3088,2017/03,連結,535133,28431,30828,20119,378.15,95.00,
3088,2018/03,連結,558879,33565,36123,22755,215.03,80.00,
3088,2019/03,連結,575991,36028,38978,25035,239.42,65.00,
3088,2020/03,連結,600000,37000,39900,26000,253.34,70.00,
3088,2020/03,連結,600000,37000,39900,26000,237.94,70.00,
3089,2015/11,連結,2610,-21,59,-1,-0.58,25.00,
3089,2016/11,連結,2662,4,87,-76,-43.59,25.00,
3089,2017/11,連結,2819,34,74,44,25.31,25.00,
3089,2018/11,連結,3584,263,277,178,101.03,27.00,
3089,2019/11,単独,--,--,--,--,--,30.00,
3089,2019/11,連結,3500,230,270,210,90.67,30.00,
3091,2015/12,単独,15926,2449,2463,1626,107.91,27.00,
3091,2016/12,単独,18010,2754,2807,1883,125.01,22.00,
3091,2017/12,単独,19765,2446,2516,1744,115.78,24.00,
3091,2018/12,単独,22432,2597,2669,1787,118.60,24.00,
3091,2019/12,単独,23500,2430,2500,1620,107.49,24.00,
3091,2019/12,単独,23500,2430,2500,1620,107.43,24.00,
3092,2016/03,連結,54422,17756,17883,11988,112.38,47.00,
3092,2017/03,連結,76393,26284,26442,17035,54.66,36.00,
3092,2018/03,連結,98432,32669,32740,20156,64.68,29.00,
3092,2019/03,連結,118405,25654,25717,15985,52.20,24.00,
3092,2020/03,連結,136000,32000,32000,22500,73.70,30.00,
3092,2020/03,連結,136000,32000,32000,22500,72.20,30.00,
3093,2016/02,単独,12216,1086,1114,804,72.07,13.00,
3093,2017/02,連結,13325,734,758,485,43.97,16.00,
3093,2018/02,連結,16431,621,668,345,31.11,16.00,
3093,2019/02,連結,17737,905,949,564,49.79,16.00,
3093,2020/02,連結,19741,909,948,626,55.32,17.00,
3093,2020/02,連結,19741,909,948,626,53.97,17.00,
3094,2016/02,単独,68705,566,652,367,173.90,35.00,
3094,2017/02,単独,73867,888,977,627,--,55.00,
3094,2018/02,単独,74297,55,156,406,64.16,19.00,
3094,2019/02,単独,76221,-592,-480,-1197,-189.11,19.00,
3094,2020/02,単独,82131,52,127,116,18.28,19.00,
3094,2020/02,単独,82459,52,127,116,18.31,19.00,
3096,2016/03,連結,48475,979,1047,537,54.58,12.00,
3096,2017/03,連結,49952,915,992,487,49.50,12.00,
3096,2018/03,連結,51967,910,988,503,51.14,12.00,
3096,2019/03,連結,57355,1006,1099,485,49.35,12.00,
3096,2020/03,連結,58800,1070,1130,630,64.00,12.00,
3096,2020/03,連結,58800,1070,1130,630,58.16,12.00,
3097,2016/06,連結,38781,2426,2620,1371,228.65,55.00,
3097,2017/06,連結,44596,2579,3056,2072,345.11,70.00,
3097,2018/06,連結,52123,3355,3865,2386,397.03,80.00,
3097,2019/06,連結,58924,3933,4686,2938,488.33,90.00,
3097,2020/06,連結,66396,5067,5100,3184,529.07,110.00,
3097,2020/06,連結,66396,5067,5100,3184,528.87,110.00,
3098,2016/03,連結,373275,11119,13461,6927,279.35,70.00,
3098,2017/03,連結,377203,10159,12507,7037,286.80,70.00,
3098,2018/03,連結,390963,13712,16019,9067,376.41,73.00,
3098,2019/03,連結,400559,12915,15233,9158,381.27,76.00,
3098,2020/03,連結,409000,13500,16000,9400,391.32,84.00,
3098,2020/03,連結,409000,13500,16000,9400,369.03,84.00,
3099,2016/03,連結,1287253,33107,36704,26506,67.41,12.00,
3099,2017/03,連結,1253457,23935,27418,14976,38.27,12.00,
3099,2018/03,連結,1256386,24413,27325,-960,-2.47,12.00,
3099,2019/03,連結,1196803,29229,31995,13480,34.58,12.00,
3099,2020/03,連結,1190000,30000,30000,14000,35.89,12.00,
3099,2020/03,連結,1190000,30000,30000,14000,35.36,12.00,
3101,2016/03,連結,347763,23123,20393,10150,11.43,3.50,
3101,2017/03,連結,329487,23332,20650,9444,10.64,3.50,
3101,2018/03,連結,331148,23923,20415,13044,146.93,40.00,
3101,2019/03,連結,336698,21727,17788,-603,-6.80,40.00,
3101,2020/03,連結,350000,22000,18000,14000,157.69,40.00,
3101,2020/03,連結,350000,22000,18000,14000,157.22,40.00,
3103,2016/03,連結,146474,10450,6821,6933,10.29,0.00,
3103,2017/03,連結,126219,12538,10483,7389,11.08,0.00,
3103,2018/03,連結,128388,11658,9972,8081,133.25,0.00,
3103,2019/03,連結,129098,8144,7093,5232,85.17,0.00,
3103,2020/03,連結,129000,6500,5200,200,-2.11,0.00,
3103,2020/03,連結,129000,6500,5200,200,3.46,0.00,
3104,2016/03,連結,38117,3624,3724,3015,26.02,7.00,
3104,2017/03,連結,40878,6816,7076,4344,379.80,90.00,
3104,2018/03,連結,35891,3989,4269,2908,254.22,100.00,
3104,2019/03,連結,37097,3779,3983,2538,221.93,100.00,
3104,2020/03,連結,38700,3800,4000,2600,227.19,100.00,
3104,2020/03,連結,38700,3800,4000,2600,221.84,100.00,
3105,2016/03,連結,533989,12617,17034,10775,67.93,30.00,
3105,2017/03,連結,527274,4890,10556,3574,22.52,30.00,
3105,2018/03,連結,512047,15085,19700,26352,160.59,30.00,
3105,2018/12,連結,416221,-2505,1566,-7182,-43.26,30.00,
3105,2019/12,連結,508000,500,5000,2500,14.94,30.00,
3105,2019/12,連結,508000,500,5000,2500,13.97,30.00,
3106,2016/03,連結,173229,4349,4521,2608,11.33,5.00,
3106,2017/03,連結,161804,6160,6579,3588,15.84,5.00,
3106,2018/03,連結,161752,6875,7357,4869,21.61,7.00,
3106,2019/03,連結,157080,5640,6190,4649,214.78,60.00,
3106,2020/03,連結,150000,4600,5600,4200,199.76,60.00,
3106,2020/03,連結,150000,4600,5600,4200,181.38,60.00,
3107,2016/03,連結,578506,9912,9679,5266,27.77,7.00,
3107,2017/03,連結,617811,12626,12572,7469,39.15,10.00,
3107,2018/03,連結,669596,14305,14291,10531,548.72,130.00,
3107,2019/03,連結,785554,22709,22840,16775,872.35,200.00,
3107,2020/03,連結,792400,22700,22500,14100,733.25,160.00,
3107,2020/03,連結,792400,22700,22500,14100,731.66,160.00,
3109,2016/03,連結,45676,3077,2511,1296,11.17,3.00,
3109,2017/03,連結,42852,3148,2739,1664,14.62,3.50,
3109,2018/03,連結,41357,2763,2352,1499,135.77,40.00,
3109,2019/03,連結,40804,2406,2112,-1425,-132.10,40.00,
3109,2020/03,連結,40300,2300,1900,1300,120.54,40.00,
3109,2020/03,連結,40300,2300,1900,1300,110.07,40.00,
3110,2016/03,連結,86199,10893,10974,5598,28.10,6.00,
3110,2017/03,連結,83324,11148,11396,7479,37.71,7.00,
3110,2018/03,連結,84526,10837,11071,10253,263.97,26.00,
3110,2019/03,連結,82292,8198,8934,7984,205.76,40.00,
3110,2020/03,連結,89000,8200,8300,5800,149.48,40.00,
3110,2020/03,連結,89000,8200,8300,5800,145.23,40.00,
3111,2016/03,連結,13140,197,-208,-102,-1.90,1.00,
3111,2017/03,連結,13999,1778,1517,146,2.23,0.00,
3111,2018/03,連結,9835,290,105,65,0.68,2.00,
3111,2019/03,連結,9746,148,-168,-840,-127.36,0.00,
3111,2020/03,連結,10000,400,100,50,4.36,--,
3111,2020/03,連結,10000,400,100,50,7.57,0.00,
3113,2016/03,単独,5461,1070,906,761,14.55,5.00,
3113,2017/03,連結,8958,955,815,885,16.51,5.00,
3113,2018/03,連結,5654,1549,1154,886,16.52,10.00,
3113,2019/03,連結,2230,-906,-957,-979,-18.25,5.00,
3113,----/--,--,--,--,--,--,--,--,
3113,2020/03,連結,7000,1000,1000,600,11.18,5.00,
3116,2016/03,連結,1415772,59492,56123,3900,21.02,30.00,
